id,text,picture_url,createdAt,updatedAt
1,This message is an attention check. Today the color of the giraffe is Blue. You will be asked to answer about the color and/or image during the daily survey.,https://botfarm-images.s3.us-east-2.amazonaws.com/zebras/giraffe_blue.jpg,2024-06-10 14:02:30.196594+00:00,2024-06-10 14:02:30.196594+00:00
2,"The day (Monday June 10th) is over. Please, fill the daily survey at the following link: https://northwestern.az1.qualtrics.com/jfe/form/SV_0oD3403saGxZNhs 
Thank you for your dedication to the experiment.",,2024-06-11 02:08:02.662096+00:00,2024-06-11 02:08:02.662096+00:00
3,Day-2 is started. This message is an attention check for Day-2 and the color of the giraffe is Red. You will be asked to answer about the color and/or image during the daily survey.,https://botfarm-images.s3.us-east-2.amazonaws.com/zebras/giraffe_red.jpg,2024-06-11 12:47:05.732818+00:00,2024-06-11 12:47:05.732818+00:00
4,"For Day-2 (Tuesday, June 11th), please fill out the daily survey at the following link: https://northwestern.az1.qualtrics.com/jfe/form/SV_6WIMyOdV4rZTSXc 
Thank you for your dedication to the experiment.",,2024-06-12 02:13:06.524298+00:00,2024-06-12 02:13:06.524298+00:00
5,Day-3 is started. This message is an attention check for Day-3 and the color of the giraffe is Green. You will be asked to answer about the color and/or image during the daily survey.,https://botfarm-images.s3.us-east-2.amazonaws.com/zebras/giraffe_green.jpg,2024-06-12 12:52:54.471577+00:00,2024-06-12 12:52:54.471577+00:00
6,"For Day-3 (Wednesday, June 12th), please fill out the daily survey at the following link: https://northwestern.az1.qualtrics.com/jfe/form/SV_3wI5aI7K6tpQPIy 
Thank you for your dedication to the experiment.",,2024-06-13 02:02:48.286275+00:00,2024-06-13 02:02:48.286275+00:00
7,Day-4 is started. This message is an attention check for Day-4 and the color of the giraffe is Gray. You will be asked to answer about the color and/or image during the daily survey.,https://botfarm-images.s3.us-east-2.amazonaws.com/zebras/giraffe_grey.jpg,2024-06-13 12:54:20.934305+00:00,2024-06-13 12:54:20.934305+00:00
8,Day-4 is started. This message is an attention check for Day-4 and the color of the giraffe is Pink. You will be asked to answer about the color and/or image during the daily survey.,https://botfarm-images.s3.us-east-2.amazonaws.com/zebras/giraffe_pink.jpg,2024-06-13 12:55:03.932599+00:00,2024-06-13 12:55:03.932599+00:00
9,"For Day-4 (Thursday, June 13th), please fill out the daily survey at the following link: https://northwestern.az1.qualtrics.com/jfe/form/SV_6VfIHpVB8aNTfU2 
Thank you for your dedication to the experiment.",,2024-06-14 00:56:35.667494+00:00,2024-06-14 00:56:35.667494+00:00
10,"The last day (Day-5) of the experiment has started. This message is an attention check for the last day, and the color of the giraffe is White. You will be asked to answer about the color and/or image during the daily survey.",https://botfarm-images.s3.us-east-2.amazonaws.com/zebras/giraffe_white.jpg,2024-06-14 12:51:13.708076+00:00,2024-06-14 12:51:13.708076+00:00
11,"For the last day (Friday, June 14th, Day-5) experiment, please fill out the daily survey at the following link: https://northwestern.az1.qualtrics.com/jfe/form/SV_78ayBx6fxee3nhA 
Thank you for your dedication to the experiment.",,2024-06-15 01:22:21.958168+00:00,2024-06-15 01:22:21.958168+00:00
